# Wordlist

# DATA
ID	CONCEPT	COUNTERPART	DOCULECT	COGID	TOKENS	IPA
912	*fadēr	vader	Dutch	250	v aː d ə r	vaːdər
#
247	*fallanan	*fallanan	Proto-Germanic	69	f a ll a n	fallanan
248	*fallanan	fallen	German	69	f a l ə n	falən
249	*fallanan	fall	English	69	f ɔː l	fɔːl
250	*fallanan	vallen	Dutch	69	v ɑ l ə	vɑlə
#
442	*falθanan	*falθanan	Proto-Germanic	122	f a l θ a n	falθanan
443	*falθanan	falten	German	122	f a l t ə n	faltən
444	*falθanan	fold	English	122	f əʊ l d	fəʊld
445	*falθanan	vouw	Dutch	122	v ɑu ʋ	vɑuʋ
#
1839	*fanxanan	*fanxanan	Proto-Germanic	504	f a n x a n	fanxanan
1840	*fanxanan	fangen	German	504	f a ŋ ə n	faŋən
1841	*fanxanan	vangen	Dutch	504	v ɑ ŋ ə	vɑŋə
#
202	*faranan	*faranan	Proto-Germanic	57	f a r a n	faranan
203	*faranan	fahren	German	57	f aː r ə n	faːrən
204	*faranan	fare	English	57	f ɛə r	fɛər
205	*faranan	varen	Dutch	57	v aː r ə	vaːrə
#
461	*farnan	*farnan	Proto-Germanic	127	f a r n	farnan
462	*farnan	Farn	German	127	f a r n	farn
463	*farnan	fern	English	127	f ɜː n	fɜːn
464	*farnan	varen	Dutch	127	v aː r ə	vaːrə
#
1314	*fastēnan	*fastēnan	Proto-Germanic	361	f a s t eː n	fasteːnan
1315	*fastēnan	fasten	German	361	f a s t ə n	fastən
1316	*fastēnan	fast	English	361	f ɑː s t	fɑːst
1317	*fastēnan	vasten	Dutch	361	v ɑ s t ə	vɑstə
#
360	*fedwōrez	*fedwōrez	Proto-Germanic	100	f e d w oː r e z	fedwoːrez
361	*fedwōrez	vier	German	100	f iː r	fiːr
362	*fedwōrez	four	English	100	f ɔː r	fɔːr
363	*fedwōrez	vier	Dutch	100	v iː r	viːr
#
1798	*fellan	*fellan	Proto-Germanic	493	f e ll	fellan
1799	*fellan	Fell	German	493	f ɛ l	fɛl
1800	*fellan	fell	English	493	f ɛ l	fɛl
1801	*fellan	vel	Dutch	493	v ɛ l	vɛl
#
1209	*felxanan	*felxanan	Proto-Germanic	332	f e l x a n	felxanan
1210	*felxanan	Felge	German	332	f ɛ l ɡ ə	fɛlɡə
1211	*felxanan	velg	Dutch	332	v ɛ l x	vɛlx
#
697	*felθuz	*felθuz	Proto-Germanic	192	f e l θ	felθuz
698	*felθuz	Feld	German	192	f ɛ l t	fɛlt
699	*felθuz	field	English	192	f iː l d	fiːld
700	*felθuz	veld	Dutch	192	v ɛ l t	vɛlt
#
1699	*fengraz	*fengraz	Proto-Germanic	466	f e n g r	fengraz
1700	*fengraz	Finger	German	466	f ɪ ŋ ə r	fɪŋər
1701	*fengraz	finger	English	466	f ɪ ŋ ɡ ə r	fɪŋɡər
1702	*fengraz	vinger	Dutch	466	v ɪ ŋ ə r	vɪŋər
#
1759	*fenθanan	*fenθanan	Proto-Germanic	482	f e n θ a n	fenθanan
1760	*fenθanan	finden	German	482	f ɪ n d ə n	fɪndən
1761	*fenθanan	find	English	482	f aɪ n d	faɪnd
1762	*fenθanan	vinden	Dutch	482	v ɪ n d ə	vɪndə
#
157	*fextanan	*fextanan	Proto-Germanic	45	f e x t a n	fextanan
158	*fextanan	fechten	German	45	f ɛ x t ə n	fɛxtən
159	*fextanan	fight	English	45	f aɪ t	faɪt
160	*fextanan	vechten	Dutch	45	v ɛ x t ə	vɛxtə
#
115	*fexu	*fexu	Proto-Germanic	33	f e x u	fexu
116	*fexu	Vieh	German	33	v iː	viː
117	*fexu	fee	English	33	f iː	fiː
118	*fexu	vee	Dutch	33	v eː	veː
#
1259	*fiskaz	*fiskaz	Proto-Germanic	346	f i s k	fiskaz
1260	*fiskaz	Fisch	German	346	f ɪ ʃ	fɪʃ
1261	*fiskaz	fish	English	346	f ɪ ʃ	fɪʃ
1262	*fiskaz	vis	Dutch	346	v ɪ s	vɪs
#
1026	*flaiskaz	*flaiskaz	Proto-Germanic	282	f l ai s k	flaiskaz
1027	*flaiskaz	Fleisch	German	282	f l ai ʃ	flaiʃ
1028	*flaiskaz	flesh	English	282	f l ɛ ʃ	flɛʃ
1029	*flaiskaz	vlees	Dutch	282	v l eː s	vleːs
#
48	*flaskō	*flaskō	Proto-Germanic	14	f l a s k oː	flaskoː
49	*flaskō	Flasche	German	14	f l a ʃ ə	flaʃə
50	*flaskō	flask	English	14	f l ɑː s k	flɑːsk
#
970	*flauxz	*flauxz	Proto-Germanic	267	f l au x z	flauxz
971	*flauxz	Floh	German	267	f l oː	floː
972	*flauxz	flea	English	267	f l iː	fliː
973	*flauxz	vlo	Dutch	267	v l oː	vloː
#
1808	*flaxsan	*flaxsan	Proto-Germanic	496	f l a x s	flaxsan
1809	*flaxsan	Flachs	German	496	f l a k s	flaks
1810	*flaxsan	flax	English	496	f l æ k s	flæks
1811	*flaxsan	vlas	Dutch	496	v l ɑ s	vlɑs
#
1107	*fleuganan	*fleuganan	Proto-Germanic	304	f l eu g a n	fleuganan
1108	*fleuganan	fliegen	German	304	f l iː ɡ ə n	fliːɡən
1109	*fleuganan	fly	English	304	f l aɪ	flaɪ
1110	*fleuganan	vliegen	Dutch	304	v l iː ɣ ə	vliːɣə
#
1225	*fleuxanan	*fleuxanan	Proto-Germanic	337	f l eu x a n	fleuxanan
1226	*fleuxanan	fliehen	German	337	f l iːə n	fliːən
1227	*fleuxanan	flee	English	337	f l iː	fliː
1228	*fleuxanan	vlieden	Dutch	337	v l iː d ə	vliːdə
#
